DATE,TOTALNSA
11/1/08,763.936
12/1/08,916.12
1/1/09,670.466
2/1/09,701.635
3/1/09,872.848
4/1/09,832.588
5/1/09,938.41
6/1/09,874.874
7/1/09,1011.769
8/1/09,1274.678
9/1/09,759.633
10/1/09,853.942
11/1/09,761.865
12/1/09,1049.27
1/1/10,712.469
2/1/10,793.362
3/1/10,1083.953
4/1/10,997.334
5/1/10,1117.57
6/1/10,1000.455
7/1/10,1065.748
8/1/10,1011.564
9/1/10,973.954
10/1/10,965.135
11/1/10,888.085
12/1/10,1162.897
1/1/11,836.366
2/1/11,1007.082
3/1/11,1276.843
4/1/11,1173.52
5/1/11,1081.272
6/1/11,1071.229
7/1/11,1086.064
8/1/11,1094.479
9/1/11,1076.037
10/1/11,1048.258
11/1/11,1028.774
12/1/11,1268.462
1/1/12,938.17
2/1/12,1175.82
3/1/12,1434.004
4/1/12,1204.471
5/1/12,1369.493
6/1/12,1310.158
7/1/12,1171.809
8/1/12,1305.342
9/1/12,1206.182
10/1/12,1119.148
11/1/12,1169.803
12/1/12,1375.084
1/1/13,1065.798
2/1/13,1217.858
3/1/13,1479.427
4/1/13,1313.768
5/1/13,1473.275
6/1/13,1425.802
7/1/13,1335.833
8/1/13,1527.483
9/1/13,1152.814
10/1/13,1235.532
11/1/13,1271.446
12/1/13,1383.676
1/1/14,1043.019
2/1/14,1221.37
3/1/14,1562.748
4/1/14,1408.232
5/1/14,1644.367
6/1/14,1451.814
7/1/14,1473.962
8/1/14,1607.315
9/1/14,1272.036
10/1/14,1312.329
11/1/14,1324.117
12/1/14,1538.534
1/1/15,1177.91
2/1/15,1285.147
3/1/15,1579.627
4/1/15,1479.335
5/1/15,1668.452
6/1/15,1518.66
7/1/15,1546.818
8/1/15,1598.265
9/1/15,1474.925
10/1/15,1486.42
11/1/15,1358.777
12/1/15,1671.288
1/1/16,1188.775
2/1/16,1374.272
3/1/16,1614.069
4/1/16,1524.1
5/1/16,1552.659
6/1/16,1548.86
7/1/16,1546.818
8/1/16,1539.79
9/1/16,1462.065
10/1/16,1397.057
11/1/16,1399.375
12/1/16,1717.933
1/1/17,1164.323
2/1/17,1352.076
3/1/17,1582.674
4/1/17,1449.717
5/1/17,1543.862
6/1/17,1502.804
7/1/17,1441.011
8/1/17,1512.07
9/1/17,1553.133
10/1/17,1385.649
11/1/17,1424.527
12/1/17,1638.675
1/1/18,1181.715
2/1/18,1328.14
3/1/18,1687.609
4/1/18,1391.226
5/1/18,1626.487
6/1/18,1586.668
7/1/18,1403.199
8/1/18,1527.498
9/1/18,1474.957
10/1/18,1399.504
11/1/18,1419.137
