DATE,MAUINSA
7/1/16,128.221
8/1/16,107.265
9/1/16,126.401
10/1/16,111.587
11/1/16,127.693
12/1/16,133.258
1/1/17,60.19
2/1/17,86.983
3/1/17,132.692
4/1/17,99.469
5/1/17,100.532
6/1/17,116.118
7/1/17,93.002
8/1/17,94.358
9/1/17,118.703
10/1/17,120.586
11/1/17,104.973
12/1/17,120.256
1/1/18,82.002
2/1/18,97.895
3/1/18,134.887
4/1/18,94.799
5/1/18,108.31
6/1/18,113.415
7/1/18,100.801
8/1/18,91.175
9/1/18,108.084
10/1/18,110.283
