DATE,IPG3361T3N
4/1/93,72.845
5/1/93,74.8038
6/1/93,74.8673
7/1/93,47.9009
8/1/93,63.5322
9/1/93,68.0921
10/1/93,77.6326
11/1/93,72.2413
12/1/93,65.9758
1/1/94,74.6353
2/1/94,83.9289
3/1/94,85.241
4/1/94,82.5997
5/1/94,83.6482
6/1/94,85.3004
7/1/94,54.6939
8/1/94,79.6462
9/1/94,81.4877
10/1/94,87.9301
11/1/94,80.7907
12/1/94,74.8208
1/1/95,80.2744
2/1/95,90.9077
3/1/95,92.9049
4/1/95,85.9274
5/1/95,85.095
6/1/95,87.4905
7/1/95,54.6427
8/1/95,79.5827
9/1/95,84.177
10/1/95,87.1503
11/1/95,80.1013
12/1/95,74.4473
1/1/96,76.1499
2/1/96,89.1496
3/1/96,81.489
4/1/96,88.3059
5/1/96,88.3205
6/1/96,91.5501
7/1/96,59.4459
8/1/96,84.1736
9/1/96,86.7869
10/1/96,87.4028
11/1/96,83.6901
12/1/96,74.1461
1/1/97,83.5629
2/1/97,95.2097
3/1/97,94.1627
4/1/97,91.6918
5/1/97,90.3284
6/1/97,91.5938
7/1/97,60.3646
8/1/97,90.0554
9/1/97,92.7076
10/1/97,99.8521
11/1/97,95.371
12/1/97,84.0411
1/1/98,87.7667
2/1/98,100.0227
3/1/98,102.436
4/1/98,96.7428
5/1/98,99.3951
6/1/98,86.0995
7/1/98,54.6424
8/1/98,98.6503
9/1/98,100.9132
10/1/98,109.9664
11/1/98,98.4385
12/1/98,89.8528
1/1/99,96.423
2/1/99,108.8165
3/1/99,111.4182
4/1/99,106.359
5/1/99,109.5794
6/1/99,108.9381
7/1/99,71.4467
8/1/99,109.4973
9/1/99,107.938
10/1/99,117.4904
11/1/99,105.1053
12/1/99,93.0654
1/1/00,105.2896
2/1/00,113.52
3/1/00,116.428
4/1/00,111.4069
5/1/00,111.8945
6/1/00,112.8149
7/1/00,71.1729
8/1/00,105.5644
9/1/00,105.4291
10/1/00,109.4806
11/1/00,94.3626
12/1/00,82.4635
1/1/01,84.7794
2/1/01,95.8467
3/1/01,103.4655
4/1/01,98.3276
5/1/01,103.5511
6/1/01,102.3614
7/1/01,68.3299
8/1/01,99.8758
9/1/01,96.962
10/1/01,99.9211
11/1/01,94.1306
12/1/01,85.3764
1/1/02,94.5988
2/1/02,105.6285
3/1/02,107.0481
4/1/02,110.0004
5/1/02,110.099
6/1/02,113.5354
7/1/02,75.9066
8/1/02,110.4066
9/1/02,111.2043
10/1/02,114.8135
11/1/02,104.3935
12/1/02,88.7528
1/1/03,105.7643
2/1/03,114.4183
3/1/03,116.3201
4/1/03,108.6257
5/1/03,110.0435
6/1/03,111.1368
7/1/03,76.3382
8/1/03,109.4142
9/1/03,115.5586
10/1/03,118.5904
11/1/03,108.6481
12/1/03,96.3848
1/1/04,104.2632
2/1/04,119.5652
3/1/04,120.8958
4/1/04,113.8572
5/1/04,112.5783
6/1/04,112.4295
7/1/04,75.2824
8/1/04,111.3986
9/1/04,110.9255
10/1/04,117.6033
11/1/04,103.5762
12/1/04,95.1874
1/1/05,106.2571
2/1/05,119.6814
3/1/05,112.3538
4/1/05,114.1769
5/1/05,109.3488
6/1/05,115.0297
7/1/05,75.0611
8/1/05,113.6415
9/1/05,116.9157
10/1/05,122.3623
11/1/05,104.8066
12/1/05,95.7481
1/1/06,105.8178
2/1/06,114.0758
3/1/06,118.1821
4/1/06,111.2324
5/1/06,110.8765
6/1/06,116.3619
7/1/06,75.5349
8/1/06,112.3444
9/1/06,110.0882
10/1/06,112.1487
11/1/06,102.3579
12/1/06,96.4404
1/1/07,98.5788
2/1/07,113.3818
3/1/07,115.9386
4/1/07,111.6314
5/1/07,111.729
6/1/07,118.5446
7/1/07,79.7804
8/1/07,113.5882
9/1/07,109.1497
10/1/07,112.0638
11/1/07,102.4599
12/1/07,88.6503
1/1/08,94.1973
2/1/08,104.7339
3/1/08,95.3872
4/1/08,92.2925
5/1/08,87.3079
6/1/08,95.4419
7/1/08,66.3042
8/1/08,82.9122
9/1/08,83.987
10/1/08,84.4443
11/1/08,72.3391
12/1/08,61.3425
